"direccion","barrio","comuna","mas_info","materiales","longitude","latitude"
"ALSINA, ADOLFO 1454","","","","","-58,38678350598772","-34,61112901491698"
"ALSINA, ADOLFO 546","","","","","-58,37391405298011","-34,610528965812264"
"ALSINA, ADOLFO 354","","","","","-58,37115417407547","-34,60986896741363"
"ALSINA, ADOLFO 1486","","","","","-58,38727348461142","-34,61122901502777"
"ALSINA, ADOLFO 1182","","","","","-58,38291367117675","-34,61084900241528"
"ALSINA, ADOLFO 752","","","","","-58,37699392110083","-34,61080897444486"
"ALSINA, ADOLFO 874","","","","","-58,378803845559844","-34,61069898578363"
"ALSINA, ADOLFO 830","","","","","-58,378283868058546","-34,61061898507211"
"ALSINA, ADOLFO 1544","","","","","-58,38806345101337","-34,611269017972226"
"ALSINA, ADOLFO 354","","","","","-58,37138416266496","-34,61010896305928"
"ALSINA, ADOLFO 1562","","","","","-58,38820344460994","-34,611339017058796"
"ALSINA, ADOLFO 1606","","","","","-58,38858342844345","-34,611359018457925"
"ALSINA, ADOLFO 1628","","","","","-58,389313397732685","-34,611349022250586"
"ALSINA, ADOLFO 1182","","","","","-58,383283655217596","-34,610899003080256"
"ALSINA, ADOLFO 1182","","","","","-58,3831636599922","-34,61093900158204"
"ALSINA, ADOLFO 1660","","","","","-58,38972338030122","-34,6113690237964"
"ALSINA, ADOLFO 1498","","","","","-58,38735348102375","-34,61125901473393"
"ALSINA, ADOLFO 1280","","","","","-58,3845436015147","-34,61097900740471"
"ALSINA, ADOLFO 1540","","","","","-58,387913457409915","-34,61125901746801"
"ALSINA, ADOLFO 1590","","","","","-58,38858342844345","-34,611359018457925"
"ALVEAR 1582","","","","","-58,384973730398826","-34,5903794792989"
"ALVEAR 1580","","","","","-58,384973730398826","-34,5903794792989"
"ALVEAR 1422","","","","","-58,38434375381789","-34,59081946619466"
"ALVEAR 1420","","","","","-58,384393752637386","-34,59068946940226"
"ALVEAR, MARCELO T. DE 1309","","","","","-58,38597364093993","-34,597009333015734"
"ALVEAR, MARCELO T. DE 705","","","","","-58,37707402107966","-34,59631930533689"
"ALVEAR, MARCELO T. DE 841","","","","","-58,37898394012669","-34,59637931328239"
"ALVEAR, MARCELO T. DE 1397","","","","","-58,38711359316457","-34,59696933949111"
"ALVEAR, MARCELO T. DE 907","","","","","-58,379903900484116","-34,596499315032794"
"ALVEAR, MARCELO T. DE 839","","","","","-58,37898394012669","-34,59637931328239"
"ALVEAR, MARCELO T. DE 835","","","","","-58,37913393330356","-34,59644931241769"
"ALVEAR, MARCELO T. DE 1353","","","","","-58,386293627877336","-34,596949335945425"
"ALVEAR, MARCELO T. DE 907","","","","","-58,379903900484116","-34,596499315032794"
"ALVEAR, MARCELO T. DE 312","","","","","-58,37268420744629","-34,59613928804081"
"ALVEAR, MARCELO T. DE 565","","","","","-58,37478411841045","-34,59620929668072"
"ALVEAR, MARCELO T. DE 340","","","","","-58,37289419809363","-34,59620928746809"
"ALVEAR, MARCELO T. DE 479","","","","","-58,37415414504274","-34,59619929383771"
"ANTARTIDA ARGENTINA AV. 1249","","","","","-58,371974306066086","-34,58649950436712"
"ANTARTIDA ARGENTINA AV. 1640","","","","","-58,37403424993233","-34,58218961264482"
"ANTARTIDA ARGENTINA AV. 1596","","","","","-58,37300427475737","-34,584799548136786"
"ANTARTIDA ARGENTINA AV. 1475","","","","","-58,37258429474117","-34,58447955338434"
"ANTARTIDA ARGENTINA AV. 1594","","","","","-58,37384425715754","-34,5822996092119"
"ANTARTIDA ARGENTINA AV. 1150","","","","","-58,373034273492785","-34,58479954828296"
"ARENALES 1226","","","","","-58,384833706410156","-34,594569383088825"
"ARENALES 872","","","","","-58,37952393262158","-34,59423936471176"
"ARENALES 1226","","","","","-58,384833706410156","-34,594569383088825"
"ARENALES 950","","","","","-58,38048389193591","-34,594269368709526"
"ARENALES 964","","","","","-58,38083387789382","-34,5941693726966"
"ARENALES 1226","","","","","-58,384833706410156","-34,594569383088825"
"ARENALES 1170","","","","","-58,383903744047124","-34,59478937353537"
"ARENALES 1340","","","","","-58,386733625740625","-34,59464939053575"
"ARENALES 1340","","","","","-58,38641363844598","-34,594759386466166"
"ARENALES 1130","","","","","-58,383713754625255","-34,59442938081669"
"AZOPARDO 1092","","","","","-58,36690427629117","-34,620668700244316"
"AZOPARDO 898","","","","","-58,36714428521069","-34,61799876235223"
"AZOPARDO 896","","","","","-58,36714428535333","-34,61797876280867"
"AZOPARDO 580","","","","","-58,36749429704772","-34,61426884917883"
"AZOPARDO 1102","","","","","-58,36694427531728","-34,620568702721734"
"AZOPARDO 1310","","","","","-58,36685427533318","-34,62109869018605"
"AZOPARDO 1090","","","","","-58,36694427759956","-34,62024871002546"
"AZOPARDO 1440","","","","","-58,36648426625987","-34,62455860940386"
"AZOPARDO 1480","","","","","-58,36646426681813","-34,62459860839325"
"AZOPARDO 1326","","","","","-58,36664426914081","-34,62320864100035"
"BALCARCE 317","","","","","-58,37057418819399","-34,61131893150368"
